,fl_date,number_flight,number_anormals,anormal
167,2010-06-17,308,0.0,0.0
168,2010-06-18,309,2.0,1.0
169,2010-06-19,288,1.0,1.0
170,2010-06-20,305,0.0,0.0
171,2010-06-21,309,1.0,1.0
172,2010-06-22,308,0.0,0.0
173,2010-06-23,309,1.0,1.0
174,2010-06-24,297,6.0,1.0
175,2010-06-25,307,4.0,1.0
176,2010-06-26,289,1.0,1.0
177,2010-06-27,296,3.0,1.0
178,2010-06-28,278,1.0,1.0
179,2010-06-29,302,0.0,0.0
180,2010-06-30,306,0.0,0.0
181,2010-07-01,315,1.0,1.0
182,2010-07-02,322,1.0,1.0
183,2010-07-03,297,0.0,0.0
184,2010-07-04,303,0.0,0.0
185,2010-07-05,323,0.0,0.0
186,2010-07-06,322,2.0,1.0
187,2010-07-07,322,0.0,0.0
188,2010-07-08,322,1.0,1.0
189,2010-07-09,319,0.0,0.0
190,2010-07-10,293,0.0,0.0
191,2010-07-11,314,0.0,0.0
192,2010-07-12,319,3.0,1.0
193,2010-07-13,260,5.0,1.0
194,2010-07-14,312,4.0,1.0
195,2010-07-15,321,1.0,1.0
196,2010-07-16,318,1.0,1.0
197,2010-07-17,297,1.0,1.0
198,2010-07-18,318,1.0,1.0
199,2010-07-19,303,5.0,1.0
200,2010-07-20,315,3.0,1.0
201,2010-07-21,313,1.0,1.0
202,2010-07-22,319,3.0,1.0
203,2010-07-23,320,1.0,1.0
204,2010-07-24,293,3.0,1.0
205,2010-07-25,308,3.0,1.0
206,2010-07-26,322,1.0,1.0
207,2010-07-27,321,0.0,0.0
208,2010-07-28,317,1.0,1.0
209,2010-07-29,308,4.0,1.0
210,2010-07-30,325,1.0,1.0
211,2010-07-31,298,0.0,0.0
212,2010-08-01,319,2.0,1.0
213,2010-08-02,317,3.0,1.0
214,2010-08-03,321,0.0,0.0
215,2010-08-04,322,3.0,1.0
216,2010-08-05,301,6.0,1.0
217,2010-08-06,324,2.0,1.0
218,2010-08-07,298,2.0,1.0
219,2010-08-08,314,0.0,0.0
220,2010-08-09,324,0.0,0.0
221,2010-08-10,322,0.0,0.0
222,2010-08-11,322,0.0,0.0
223,2010-08-12,312,1.0,1.0
224,2010-08-13,324,0.0,0.0
225,2010-08-14,298,0.0,0.0
226,2010-08-15,317,1.0,1.0
227,2010-08-16,310,2.0,1.0
228,2010-08-17,319,0.0,0.0
229,2010-08-18,320,0.0,0.0
230,2010-08-19,318,1.0,1.0
231,2010-08-20,320,2.0,1.0
232,2010-08-21,291,2.0,1.0
233,2010-08-22,294,7.0,1.0
234,2010-08-23,313,5.0,1.0
235,2010-08-24,305,0.0,0.0
236,2010-08-25,313,1.0,1.0
237,2010-08-26,317,1.0,1.0
238,2010-08-27,319,1.0,1.0
239,2010-08-28,292,0.0,0.0
240,2010-08-29,315,0.0,0.0
241,2010-08-30,314,1.0,1.0
242,2010-08-31,312,0.0,0.0
243,2010-09-01,315,0.0,0.0
244,2010-09-02,315,0.0,0.0
245,2010-09-03,316,1.0,1.0
246,2010-09-04,291,0.0,0.0
247,2010-09-05,304,0.0,0.0
248,2010-09-06,321,1.0,1.0
249,2010-09-07,304,0.0,0.0
250,2010-09-08,289,0.0,0.0
251,2010-09-09,300,0.0,0.0
252,2010-09-10,300,0.0,0.0
253,2010-09-11,264,0.0,0.0
254,2010-09-12,294,2.0,1.0
255,2010-09-13,296,0.0,0.0
256,2010-09-14,284,1.0,1.0
257,2010-09-15,287,0.0,0.0
258,2010-09-16,283,7.0,1.0
259,2010-09-17,301,0.0,0.0
260,2010-09-18,265,0.0,0.0
261,2010-09-19,295,0.0,0.0
262,2010-09-20,297,0.0,0.0
263,2010-09-21,285,0.0,0.0
264,2010-09-22,281,7.0,1.0
265,2010-09-23,298,0.0,0.0
266,2010-09-24,300,1.0,1.0
267,2010-09-25,264,0.0,0.0
268,2010-09-26,296,0.0,0.0
269,2010-09-27,246,0.0,0.0
270,2010-09-28,244,3.0,1.0
271,2010-09-29,287,1.0,1.0
272,2010-09-30,226,5.0,1.0
273,2010-10-01,295,6.0,1.0
274,2010-10-02,265,1.0,1.0
275,2010-10-03,292,1.0,1.0
276,2010-10-04,292,0.0,0.0
277,2010-10-05,282,0.0,0.0
278,2010-10-06,290,1.0,1.0
279,2010-10-07,292,0.0,0.0
