,fl_date,number_flight,number_anormals,anormal
167,2010-06-17,89,0.0,0.0
168,2010-06-18,90,2.0,1.0
169,2010-06-19,71,1.0,1.0
170,2010-06-20,83,0.0,0.0
171,2010-06-21,87,0.0,0.0
172,2010-06-22,88,0.0,0.0
173,2010-06-23,87,1.0,1.0
174,2010-06-24,86,2.0,1.0
175,2010-06-25,91,0.0,0.0
176,2010-06-26,72,1.0,1.0
177,2010-06-27,83,1.0,1.0
178,2010-06-28,86,0.0,0.0
179,2010-06-29,89,0.0,0.0
180,2010-06-30,92,0.0,0.0
181,2010-07-01,89,0.0,0.0
182,2010-07-02,92,0.0,0.0
183,2010-07-03,69,0.0,0.0
184,2010-07-04,65,1.0,1.0
185,2010-07-05,90,1.0,1.0
186,2010-07-06,90,0.0,0.0
187,2010-07-07,91,0.0,0.0
188,2010-07-08,91,0.0,0.0
189,2010-07-09,90,1.0,1.0
190,2010-07-10,70,0.0,0.0
191,2010-07-11,85,0.0,0.0
192,2010-07-12,90,1.0,1.0
193,2010-07-13,85,1.0,1.0
194,2010-07-14,91,3.0,1.0
195,2010-07-15,91,0.0,0.0
196,2010-07-16,93,0.0,0.0
197,2010-07-17,72,0.0,0.0
198,2010-07-18,85,0.0,0.0
199,2010-07-19,91,1.0,1.0
200,2010-07-20,90,0.0,0.0
201,2010-07-21,91,0.0,0.0
202,2010-07-22,88,0.0,0.0
203,2010-07-23,92,0.0,0.0
204,2010-07-24,66,1.0,1.0
205,2010-07-25,81,1.0,1.0
206,2010-07-26,92,0.0,0.0
207,2010-07-27,90,0.0,0.0
208,2010-07-28,90,0.0,0.0
209,2010-07-29,88,0.0,0.0
210,2010-07-30,92,0.0,0.0
211,2010-07-31,72,1.0,1.0
212,2010-08-01,86,1.0,1.0
213,2010-08-02,94,0.0,0.0
214,2010-08-03,93,0.0,0.0
215,2010-08-04,91,0.0,0.0
216,2010-08-05,88,0.0,0.0
217,2010-08-06,93,0.0,0.0
218,2010-08-07,73,0.0,0.0
219,2010-08-08,88,0.0,0.0
220,2010-08-09,93,0.0,0.0
221,2010-08-10,92,0.0,0.0
222,2010-08-11,91,0.0,0.0
223,2010-08-12,91,0.0,0.0
224,2010-08-13,93,1.0,1.0
225,2010-08-14,73,0.0,0.0
226,2010-08-15,83,0.0,0.0
227,2010-08-16,88,0.0,0.0
228,2010-08-17,85,0.0,0.0
229,2010-08-18,87,0.0,0.0
230,2010-08-19,89,0.0,0.0
231,2010-08-20,90,0.0,0.0
232,2010-08-21,63,0.0,0.0
233,2010-08-22,82,0.0,0.0
234,2010-08-23,85,1.0,1.0
235,2010-08-24,85,0.0,0.0
236,2010-08-25,87,0.0,0.0
237,2010-08-26,87,0.0,0.0
238,2010-08-27,91,0.0,0.0
239,2010-08-28,63,0.0,0.0
240,2010-08-29,83,0.0,0.0
241,2010-08-30,88,0.0,0.0
242,2010-08-31,83,0.0,0.0
243,2010-09-01,86,0.0,0.0
244,2010-09-02,88,1.0,1.0
245,2010-09-03,90,0.0,0.0
246,2010-09-04,63,0.0,0.0
247,2010-09-05,63,0.0,0.0
248,2010-09-06,82,0.0,0.0
249,2010-09-07,83,0.0,0.0
250,2010-09-08,82,0.0,0.0
251,2010-09-09,87,0.0,0.0
252,2010-09-10,86,0.0,0.0
253,2010-09-11,59,0.0,0.0
254,2010-09-12,80,0.0,0.0
255,2010-09-13,85,0.0,0.0
256,2010-09-14,79,0.0,0.0
257,2010-09-15,81,1.0,1.0
258,2010-09-16,83,1.0,1.0
259,2010-09-17,85,0.0,0.0
260,2010-09-18,58,0.0,0.0
261,2010-09-19,76,0.0,0.0
262,2010-09-20,84,0.0,0.0
263,2010-09-21,79,0.0,0.0
264,2010-09-22,80,1.0,1.0
265,2010-09-23,83,1.0,1.0
266,2010-09-24,85,0.0,0.0
267,2010-09-25,58,0.0,0.0
268,2010-09-26,78,0.0,0.0
269,2010-09-27,81,0.0,0.0
270,2010-09-28,77,0.0,0.0
271,2010-09-29,81,0.0,0.0
272,2010-09-30,79,0.0,0.0
273,2010-10-01,84,0.0,0.0
274,2010-10-02,61,0.0,0.0
275,2010-10-03,78,1.0,1.0
276,2010-10-04,83,0.0,0.0
277,2010-10-05,82,0.0,0.0
278,2010-10-06,82,0.0,0.0
279,2010-10-07,84,0.0,0.0
280,2010-10-08,85,0.0,0.0
281,2010-10-09,59,0.0,0.0
282,2010-10-10,79,0.0,0.0
283,2010-10-11,84,0.0,0.0
284,2010-10-12,83,1.0,1.0
285,2010-10-13,85,0.0,0.0
286,2010-10-14,84,0.0,0.0
287,2010-10-15,83,0.0,0.0
288,2010-10-16,61,0.0,0.0
289,2010-10-17,80,0.0,0.0
290,2010-10-18,85,0.0,0.0
291,2010-10-19,83,0.0,0.0
292,2010-10-20,86,0.0,0.0
293,2010-10-21,84,0.0,0.0
294,2010-10-22,85,0.0,0.0
295,2010-10-23,60,0.0,0.0
296,2010-10-24,81,0.0,0.0
297,2010-10-25,82,0.0,0.0
298,2010-10-26,78,1.0,1.0
299,2010-10-27,79,0.0,0.0
300,2010-10-28,83,0.0,0.0
301,2010-10-29,83,2.0,1.0
302,2010-10-30,61,0.0,0.0
303,2010-10-31,80,1.0,1.0
304,2010-11-01,89,1.0,1.0
305,2010-11-02,85,0.0,0.0
306,2010-11-03,87,0.0,0.0
307,2010-11-04,89,0.0,0.0
308,2010-11-05,91,0.0,0.0
309,2010-11-06,63,0.0,0.0
310,2010-11-07,87,0.0,0.0
311,2010-11-08,88,0.0,0.0
312,2010-11-09,87,0.0,0.0
313,2010-11-10,86,0.0,0.0
314,2010-11-11,91,0.0,0.0
315,2010-11-12,91,0.0,0.0
316,2010-11-13,64,0.0,0.0
317,2010-11-14,86,0.0,0.0
318,2010-11-15,88,0.0,0.0
319,2010-11-16,86,1.0,1.0
320,2010-11-17,85,0.0,0.0
321,2010-11-18,89,0.0,0.0
322,2010-11-19,92,0.0,0.0
323,2010-11-20,66,0.0,0.0
324,2010-11-21,87,1.0,1.0
325,2010-11-22,89,0.0,0.0
326,2010-11-23,91,0.0,0.0
327,2010-11-24,94,1.0,1.0
328,2010-11-25,62,0.0,0.0
329,2010-11-26,71,0.0,0.0
330,2010-11-27,77,0.0,0.0
331,2010-11-28,91,0.0,0.0
332,2010-11-29,92,0.0,0.0
333,2010-11-30,88,0.0,0.0
334,2010-12-01,81,1.0,1.0
335,2010-12-02,91,0.0,0.0
336,2010-12-03,91,0.0,0.0
337,2010-12-04,64,0.0,0.0
338,2010-12-05,86,0.0,0.0
339,2010-12-06,88,0.0,0.0
340,2010-12-07,87,0.0,0.0
341,2010-12-08,86,0.0,0.0
342,2010-12-09,92,0.0,0.0
343,2010-12-10,92,0.0,0.0
344,2010-12-11,60,0.0,0.0
345,2010-12-12,63,1.0,1.0
346,2010-12-13,85,2.0,1.0
347,2010-12-14,86,0.0,0.0
348,2010-12-15,86,0.0,0.0
349,2010-12-16,90,1.0,1.0
350,2010-12-17,93,1.0,1.0
351,2010-12-18,73,1.0,1.0
352,2010-12-19,85,0.0,0.0
353,2010-12-20,88,0.0,0.0
354,2010-12-21,87,0.0,0.0
355,2010-12-22,91,0.0,0.0
356,2010-12-23,90,1.0,1.0
357,2010-12-24,74,0.0,0.0
358,2010-12-25,65,0.0,0.0
359,2010-12-26,73,0.0,0.0
360,2010-12-27,74,1.0,1.0
361,2010-12-28,81,2.0,1.0
362,2010-12-29,84,0.0,0.0
363,2010-12-30,84,0.0,0.0
364,2010-12-31,70,0.0,0.0
