,fl_date,number_flight,number_anormals,anormal
146,2010-05-27,327,1.0,1.0
147,2010-05-28,328,0.0,0.0
148,2010-05-29,222,0.0,0.0
149,2010-05-30,239,0.0,0.0
150,2010-05-31,308,1.0,1.0
151,2010-06-01,309,1.0,1.0
152,2010-06-02,317,1.0,1.0
153,2010-06-03,319,5.0,1.0
154,2010-06-04,323,1.0,1.0
155,2010-06-05,224,0.0,0.0
156,2010-06-06,282,5.0,1.0
157,2010-06-07,326,0.0,0.0
158,2010-06-08,323,1.0,1.0
159,2010-06-09,326,1.0,1.0
160,2010-06-10,328,1.0,1.0
161,2010-06-11,335,1.0,1.0
162,2010-06-12,234,0.0,0.0
163,2010-06-13,290,2.0,1.0
164,2010-06-14,329,0.0,0.0
165,2010-06-15,333,1.0,1.0
166,2010-06-16,330,1.0,1.0
167,2010-06-17,340,1.0,1.0
168,2010-06-18,336,0.0,0.0
169,2010-06-19,240,0.0,0.0
170,2010-06-20,293,1.0,1.0
171,2010-06-21,331,1.0,1.0
172,2010-06-22,335,1.0,1.0
173,2010-06-23,326,2.0,1.0
174,2010-06-24,331,4.0,1.0
175,2010-06-25,335,1.0,1.0
176,2010-06-26,241,0.0,0.0
177,2010-06-27,298,0.0,0.0
178,2010-06-28,335,2.0,1.0
179,2010-06-29,342,0.0,0.0
180,2010-06-30,340,0.0,0.0
181,2010-07-01,343,0.0,0.0
182,2010-07-02,338,1.0,1.0
183,2010-07-03,245,0.0,0.0
184,2010-07-04,237,0.0,0.0
185,2010-07-05,311,0.0,0.0
186,2010-07-06,339,0.0,0.0
187,2010-07-07,339,0.0,0.0
188,2010-07-08,342,1.0,1.0
189,2010-07-09,341,0.0,0.0
190,2010-07-10,251,2.0,1.0
191,2010-07-11,298,0.0,0.0
192,2010-07-12,338,4.0,1.0
193,2010-07-13,327,5.0,1.0
194,2010-07-14,334,4.0,1.0
195,2010-07-15,344,1.0,1.0
196,2010-07-16,340,2.0,1.0
197,2010-07-17,246,0.0,0.0
198,2010-07-18,298,3.0,1.0
199,2010-07-19,328,2.0,1.0
200,2010-07-20,340,3.0,1.0
201,2010-07-21,332,7.0,1.0
202,2010-07-22,340,1.0,1.0
203,2010-07-23,335,3.0,1.0
204,2010-07-24,250,1.0,1.0
205,2010-07-25,288,4.0,1.0
206,2010-07-26,340,3.0,1.0
207,2010-07-27,343,2.0,1.0
208,2010-07-28,339,0.0,0.0
209,2010-07-29,338,1.0,1.0
210,2010-07-30,347,0.0,0.0
211,2010-07-31,252,1.0,1.0
212,2010-08-01,296,0.0,0.0
213,2010-08-02,347,1.0,1.0
214,2010-08-03,348,0.0,0.0
215,2010-08-04,345,2.0,1.0
216,2010-08-05,333,7.0,1.0
217,2010-08-06,340,2.0,1.0
218,2010-08-07,251,0.0,0.0
219,2010-08-08,297,0.0,0.0
220,2010-08-09,345,1.0,1.0
221,2010-08-10,345,1.0,1.0
222,2010-08-11,340,2.0,1.0
223,2010-08-12,343,3.0,1.0
224,2010-08-13,345,1.0,1.0
225,2010-08-14,251,1.0,1.0
226,2010-08-15,302,2.0,1.0
227,2010-08-16,343,1.0,1.0
228,2010-08-17,348,1.0,1.0
229,2010-08-18,347,1.0,1.0
230,2010-08-19,351,1.0,1.0
231,2010-08-20,347,2.0,1.0
232,2010-08-21,253,0.0,0.0
233,2010-08-22,291,5.0,1.0
234,2010-08-23,334,5.0,1.0
235,2010-08-24,326,0.0,0.0
236,2010-08-25,333,2.0,1.0
237,2010-08-26,348,0.0,0.0
238,2010-08-27,349,0.0,0.0
239,2010-08-28,249,1.0,1.0
240,2010-08-29,296,0.0,0.0
241,2010-08-30,345,0.0,0.0
242,2010-08-31,344,0.0,0.0
243,2010-09-01,346,0.0,0.0
244,2010-09-02,350,0.0,0.0
245,2010-09-03,329,2.0,1.0
246,2010-09-04,236,0.0,0.0
247,2010-09-05,245,0.0,0.0
248,2010-09-06,312,0.0,0.0
249,2010-09-07,336,0.0,0.0
250,2010-09-08,329,1.0,1.0
251,2010-09-09,332,0.0,0.0
252,2010-09-10,333,0.0,0.0
253,2010-09-11,227,0.0,0.0
254,2010-09-12,292,0.0,0.0
255,2010-09-13,330,1.0,1.0
256,2010-09-14,322,1.0,1.0
257,2010-09-15,331,2.0,1.0
258,2010-09-16,330,4.0,1.0
259,2010-09-17,334,1.0,1.0
260,2010-09-18,228,1.0,1.0
261,2010-09-19,294,0.0,0.0
262,2010-09-20,335,0.0,0.0
263,2010-09-21,327,0.0,0.0
264,2010-09-22,332,1.0,1.0
265,2010-09-23,333,1.0,1.0
266,2010-09-24,333,0.0,0.0
267,2010-09-25,228,0.0,0.0
268,2010-09-26,291,2.0,1.0
269,2010-09-27,319,4.0,1.0
270,2010-09-28,311,2.0,1.0
271,2010-09-29,329,0.0,0.0
272,2010-09-30,308,4.0,1.0
273,2010-10-01,320,4.0,1.0
274,2010-10-02,233,1.0,1.0
275,2010-10-03,297,1.0,1.0
276,2010-10-04,329,1.0,1.0
277,2010-10-05,323,0.0,0.0
278,2010-10-06,330,1.0,1.0
279,2010-10-07,336,0.0,0.0
280,2010-10-08,336,0.0,0.0
281,2010-10-09,241,0.0,0.0
282,2010-10-10,300,0.0,0.0
283,2010-10-11,338,0.0,0.0
284,2010-10-12,326,2.0,1.0
285,2010-10-13,334,2.0,1.0
