,Unnamed: 0,origin,fl_date,dep_delay,delay,dep_delay_avg,score,mean,std,anormal_day
0,34,CMH,2010-01-01,-5.0,0.0,8.655737704918034,2.1614692636,1.6156539358852455,0.6436551206098331,0
1,38,CMH,2010-01-01,8.0,8.0,8.655737704918034,0.9268528436,1.6156539358852455,0.6436551206098331,0
2,48,CMH,2010-01-01,2.0,2.0,8.655737704918034,0.9080846913,1.6156539358852455,0.6436551206098331,0
3,51,CMH,2010-01-01,-8.0,0.0,8.655737704918034,2.3900193104,1.6156539358852455,0.6436551206098331,0
4,70,CMH,2010-01-01,-5.0,0.0,8.655737704918034,2.1614692636,1.6156539358852455,0.6436551206098331,0
5,112,CMH,2010-01-01,-4.0,0.0,8.655737704918034,2.0670473265,1.6156539358852455,0.6436551206098331,0
6,126,CMH,2010-01-01,0.0,0.0,8.655737704918034,0.6283725781,1.6156539358852455,0.6436551206098331,0
7,1231,CMH,2010-01-01,-1.0,0.0,8.655737704918034,1.6443095196,1.6156539358852455,0.6436551206098331,0
8,2543,CMH,2010-01-01,-3.0,0.0,8.655737704918034,1.9572411161,1.6156539358852455,0.6436551206098331,0
9,2583,CMH,2010-01-01,-5.0,0.0,8.655737704918034,2.1614692636,1.6156539358852455,0.6436551206098331,0
10,2936,CMH,2010-01-01,-5.0,0.0,8.655737704918034,2.1614692636,1.6156539358852455,0.6436551206098331,0
11,2937,CMH,2010-01-01,-4.0,0.0,8.655737704918034,2.0670473265,1.6156539358852455,0.6436551206098331,0
12,3984,CMH,2010-01-01,0.0,0.0,8.655737704918034,0.6283725781,1.6156539358852455,0.6436551206098331,0
13,3985,CMH,2010-01-01,3.0,3.0,8.655737704918034,0.9121043305,1.6156539358852455,0.6436551206098331,0
14,3986,CMH,2010-01-01,12.0,12.0,8.655737704918034,0.9636395432,1.6156539358852455,0.6436551206098331,0
15,3987,CMH,2010-01-01,-2.0,0.0,8.655737704918034,1.8232503824,1.6156539358852455,0.6436551206098331,0
16,3988,CMH,2010-01-01,2.0,2.0,8.655737704918034,0.9080846913,1.6156539358852455,0.6436551206098331,0
17,3989,CMH,2010-01-01,-7.0,0.0,8.655737704918034,2.3207065685,1.6156539358852455,0.6436551206098331,0
18,3990,CMH,2010-01-01,30.0,30.0,8.655737704918034,0.9498649487,1.6156539358852455,0.6436551206098331,0
19,3991,CMH,2010-01-01,9.0,9.0,8.655737704918034,0.8964244714,1.6156539358852455,0.6436551206098331,0
20,3992,CMH,2010-01-01,-2.0,0.0,8.655737704918034,1.8232503824,1.6156539358852455,0.6436551206098331,0
21,3993,CMH,2010-01-01,5.0,5.0,8.655737704918034,0.928464815,1.6156539358852455,0.6436551206098331,0
22,3994,CMH,2010-01-01,-3.0,0.0,8.655737704918034,1.9572411161,1.6156539358852455,0.6436551206098331,0
23,3995,CMH,2010-01-01,-2.0,0.0,8.655737704918034,1.8232503824,1.6156539358852455,0.6436551206098331,0
24,3996,CMH,2010-01-01,-1.0,0.0,8.655737704918034,1.6443095196,1.6156539358852455,0.6436551206098331,0
25,3997,CMH,2010-01-01,5.0,5.0,8.655737704918034,0.928464815,1.6156539358852455,0.6436551206098331,0
